iter	Logloss
0	0.6365406227
1	0.6055706207
2	0.5757618564
3	0.5597164068
4	0.5484679656
5	0.5389826285
6	0.5324354956
7	0.5268008399
8	0.5222908319
9	0.5185928748
10	0.5156071988
11	0.5122197282
12	0.5087959442
13	0.5056838498
14	0.5029647192
15	0.5004294629
16	0.4983052481
17	0.4949608316
18	0.4928554931
19	0.4908334446
20	0.4891524022
21	0.4874772332
22	0.4846969509
23	0.4827592154
24	0.4804481574
25	0.4791115403
26	0.4769386826
27	0.47511596
28	0.4736216445
29	0.4724537047
30	0.4711530816
31	0.4695257761
32	0.4684729357
33	0.4672022462
34	0.4661768458
35	0.4649688354
36	0.4635061089
37	0.4623845071
38	0.4611906388
39	0.4600048591
40	0.4591595941
41	0.4580670889
42	0.4566429899
43	0.4557521886
44	0.4544902384
45	0.4535599944
46	0.4527711967
47	0.4517889173
48	0.450461993
49	0.4493170494
50	0.4483480286
51	0.4471219335
52	0.4457257622
53	0.4446221443
54	0.4437411663
55	0.4429812569
56	0.4421368946
57	0.4403573993
58	0.439356833
59	0.4382313536
60	0.4372730814
61	0.436170095
62	0.4351070106
63	0.4338522225
64	0.4331105626
65	0.4318612693
66	0.4308404454
67	0.4297853498
68	0.4288060553
69	0.4279075649
70	0.4271791944
71	0.4264711709
72	0.4258474224
73	0.4242877694
74	0.4234867409
75	0.4226345552
76	0.421369163
77	0.4206108157
78	0.4195450762
79	0.4190481259
80	0.4179695995
81	0.417242541
82	0.4161842507
83	0.415395121
84	0.4146817002
85	0.4143263278
86	0.4134433836
87	0.4126614558
88	0.4122133574
89	0.4113125954
90	0.4105717404
91	0.409739003
92	0.4091645502
93	0.4081659122
94	0.4075932126
95	0.4070228512
96	0.4066061792
97	0.4059038058
98	0.4055125645
99	0.4047774923
100	0.4041937726
101	0.4035746902
102	0.4030269278
103	0.4022050178
104	0.4013333397
105	0.4004686477
106	0.3998309882
107	0.3993282684
108	0.3985141144
109	0.3980930998
110	0.3972497684
111	0.3958301598
112	0.3953193479
113	0.3944252196
114	0.3940288335
115	0.3933344619
116	0.3928093684
117	0.3923628594
118	0.3918694879
119	0.3915284572
120	0.391058686
121	0.3903106641
122	0.389375242
123	0.3886024569
124	0.3879264821
125	0.3873684824
126	0.3865847971
127	0.3862072059
128	0.3858380086
129	0.3852808797
130	0.3845472326
131	0.3840345643
132	0.3834702144
133	0.3828503191
134	0.3819851914
135	0.3812895702
136	0.380672872
137	0.3799728389
138	0.3797315758
139	0.3791023781
140	0.3788233473
141	0.378572613
142	0.3779539187
143	0.3775914011
144	0.3769966606
145	0.3764542941
146	0.3756421947
147	0.374889669
148	0.3742302615
149	0.3738235476
150	0.3729063286
151	0.372387287
152	0.3716476989
153	0.3711482011
154	0.3704282561
155	0.3698361655
156	0.3694431351
157	0.3687045093
158	0.3680693437
159	0.3677119894
160	0.3674407291
161	0.3667095527
162	0.3662871716
163	0.3657076023
164	0.3650934934
165	0.3644536551
166	0.3637497784
167	0.3634677305
168	0.3629717094
169	0.3623530154
170	0.3620663501
171	0.3618655852
172	0.3613742698
173	0.3609340657
174	0.3606087114
175	0.3603739592
176	0.3602033576
177	0.3599876519
178	0.3597875235
179	0.3595734339
180	0.3593830633
181	0.3590652424
182	0.3585914588
183	0.3583741236
184	0.3582285608
185	0.3576126078
186	0.3570211263
187	0.3565079106
188	0.3559609167
189	0.3554324294
190	0.3547747291
191	0.3545765086
192	0.3540960914
193	0.3533924491
194	0.3530821397
195	0.3525171902
196	0.35217644
197	0.3516484869
198	0.3508160668
199	0.3506562048
200	0.3502288371
201	0.3495918623
202	0.3490405723
203	0.3484738217
204	0.3480145718
205	0.3473799208
206	0.3472292139
207	0.3465488689
208	0.3460142187
209	0.3456678965
210	0.3451137951
211	0.3446727517
212	0.3444136926
213	0.3439224395
214	0.3435049565
215	0.3431162563
216	0.3425632465
217	0.3421692657
218	0.3414667404
219	0.340631157
220	0.3404712076
221	0.3400342554
222	0.3397044139
223	0.3392618251
224	0.3389678807
225	0.3384792256
226	0.337950327
227	0.3377260787
228	0.3373483791
229	0.3369029913
230	0.3366499327
231	0.3360512595
232	0.3355939501
233	0.335134279
234	0.334967929
235	0.3346363487
236	0.3340506773
237	0.333705451
238	0.3334805592
239	0.3333244115
240	0.3328825314
241	0.3323969287
242	0.332091901
243	0.3314259249
244	0.3313069153
245	0.3309079972
246	0.3304589888
247	0.3301385626
248	0.3299380402
249	0.3296650537
250	0.3292512939
251	0.3289197718
252	0.3287957538
253	0.3280804204
254	0.3276169113
255	0.3271557916
256	0.3266389961
257	0.3265239635
258	0.3260010542
259	0.3258336008
260	0.3254931189
261	0.3251848207
262	0.3247516606
263	0.3243644624
264	0.324251496
265	0.3239870109
266	0.3237107416
267	0.3230770442
268	0.3228069674
269	0.3223818783
270	0.3220362374
271	0.3214692163
272	0.3212800289
273	0.3208391302
274	0.3204843883
275	0.3200336714
276	0.3195479381
277	0.3191058425
278	0.3188329351
279	0.3186367847
280	0.3185374764
281	0.3182238392
282	0.3181300095
283	0.3178292822
284	0.317531008
285	0.3170353595
286	0.3169620921
287	0.316626022
288	0.3164740484
289	0.316229308
290	0.3158988403
291	0.3154851057
292	0.3151018872
293	0.3149164875
294	0.3145963622
295	0.3141855174
296	0.3138598976
297	0.3134584425
298	0.3131228279
299	0.312970786
