iter	Passed	Remaining
0	22	6849
1	43	6536
2	66	6592
3	88	6525
4	110	6503
5	136	6667
6	162	6781
7	183	6710
8	203	6569
9	223	6469
10	242	6380
11	262	6310
12	281	6217
13	303	6202
14	324	6169
15	346	6143
16	367	6119
17	389	6095
18	415	6138
19	438	6141
20	456	6068
21	475	6004
22	494	5954
23	513	5906
24	534	5877
25	554	5846
26	577	5835
27	595	5783
28	615	5753
29	635	5716
30	659	5721
31	681	5708
32	703	5689
33	726	5680
34	748	5665
35	768	5633
36	788	5605
37	809	5580
38	829	5550
39	848	5514
40	868	5483
41	885	5441
42	904	5405
43	923	5375
44	945	5355
45	964	5326
46	986	5307
47	1007	5289
48	1028	5268
49	1048	5242
50	1070	5227
51	1091	5206
52	1120	5220
53	1138	5187
54	1160	5169
55	1185	5166
56	1212	5169
57	1241	5179
58	1264	5165
59	1292	5170
60	1318	5164
61	1339	5142
62	1360	5117
63	1381	5093
64	1401	5066
65	1422	5043
66	1447	5033
67	1470	5016
68	1492	4995
69	1519	4992
70	1550	5001
71	1578	4998
72	1606	4995
73	1629	4975
74	1650	4952
75	1671	4925
76	1689	4893
77	1709	4866
78	1728	4835
79	1748	4808
80	1768	4782
81	1789	4758
82	1809	4730
83	1831	4708
84	1848	4675
85	1868	4648
86	1887	4621
87	1907	4595
88	1928	4573
89	1950	4551
90	1970	4525
91	1991	4503
92	2014	4484
93	2037	4464
94	2060	4447
95	2080	4421
96	2101	4397
97	2121	4372
98	2140	4346
99	2160	4321
100	2179	4295
101	2202	4274
102	2223	4251
103	2241	4223
104	2260	4198
105	2281	4176
106	2300	4150
107	2320	4125
108	2340	4101
109	2361	4079
110	2383	4058
111	2404	4036
112	2425	4014
113	2448	3994
114	2469	3972
115	2491	3952
116	2514	3933
117	2534	3908
118	2556	3887
119	2576	3864
120	2597	3842
121	2616	3817
122	2636	3794
123	2657	3771
124	2674	3744
125	2693	3719
126	2713	3696
127	2732	3671
128	2750	3646
129	2770	3623
130	2790	3599
131	2812	3579
132	2832	3557
133	2856	3538
134	2877	3516
135	2898	3495
136	2918	3472
137	2938	3449
138	2957	3425
139	2977	3403
140	2996	3379
141	3015	3355
142	3036	3333
143	3058	3313
144	3079	3292
145	3102	3272
146	3125	3252
147	3147	3232
148	3170	3213
149	3189	3189
150	3212	3169
151	3231	3146
152	3250	3122
153	3269	3099
154	3290	3078
155	3310	3055
156	3328	3031
157	3348	3009
158	3374	2992
159	3395	2970
160	3420	2953
161	3441	2931
162	3463	2910
163	3485	2890
164	3512	2874
165	3540	2857
166	3563	2837
167	3586	2818
168	3608	2796
169	3628	2774
170	3651	2754
171	3670	2731
172	3693	2711
173	3714	2690
174	3743	2673
175	3766	2653
176	3790	2633
177	3810	2612
178	3836	2593
179	3858	2572
180	3888	2556
181	3910	2535
182	3932	2513
183	3952	2491
184	3976	2472
185	4002	2452
186	4026	2433
187	4048	2411
188	4070	2390
189	4090	2368
190	4109	2345
191	4131	2323
192	4151	2301
193	4171	2279
194	4191	2257
195	4211	2234
196	4230	2211
197	4247	2188
198	4264	2164
199	4285	2142
200	4304	2120
201	4324	2098
202	4346	2076
203	4367	2055
204	4388	2033
205	4412	2013
206	4433	1991
207	4454	1970
208	4475	1948
209	4496	1927
210	4520	1906
211	4543	1885
212	4563	1863
213	4584	1842
214	4604	1820
215	4626	1799
216	4645	1776
217	4665	1754
218	4688	1733
219	4709	1712
220	4729	1690
221	4750	1669
222	4771	1647
223	4790	1625
224	4811	1603
225	4831	1581
226	4851	1560
227	4870	1538
228	4893	1517
229	4915	1495
230	4936	1474
231	4955	1452
232	4977	1431
233	4996	1409
234	5017	1387
235	5041	1367
236	5063	1345
237	5084	1324
238	5104	1302
239	5126	1281
240	5148	1260
241	5172	1239
242	5196	1218
243	5217	1197
244	5237	1175
245	5259	1154
246	5278	1132
247	5297	1110
248	5317	1089
249	5337	1067
250	5357	1045
251	5385	1025
252	5413	1005
253	5432	983
254	5451	962
255	5473	940
256	5495	919
257	5514	897
258	5537	876
259	5563	855
260	5588	835
261	5614	814
262	5635	792
263	5659	771
264	5682	750
265	5702	728
266	5721	707
267	5741	685
268	5758	663
269	5777	641
270	5795	620
271	5816	598
272	5835	577
273	5856	555
274	5876	534
275	5897	512
276	5917	491
277	5937	469
278	5959	448
279	5979	427
280	6002	405
281	6025	384
282	6048	363
283	6069	341
284	6092	320
285	6117	299
286	6139	278
287	6159	256
288	6180	235
289	6200	213
290	6222	192
291	6242	171
292	6260	149
293	6278	128
294	6297	106
295	6316	85
296	6334	63
297	6354	42
298	6376	21
299	6397	0
